Rank,UserID,Username,Level,XP,Messages
1,703622484284538922,_ifif,64,553622,27690
2,1045820629179433010,s743i,63,512744,25604
3,954657421287096350,rud_jn,57,402376,20119
4,791910395240644609,amino_saurus,56,376747,18820
5,761213034248273930,macrodexter,54,345598,17284
6,1372534603667083315,yemenisushi,52,302399,15132
7,931822530359099422,joy.r0,52,300254,15032
8,1161912930854502410,sssddd._,51,294955,14749
9,554301090821308436,ryancantpvp,51,290814,14567
10,1065724136388821072,dxcryptt,50,276663,13843
11,553223193188630549,papathanos3947,48,248664,12414
12,761175989521743922,xrs_legend,47,237683,11878
13,860778997243052072,sherlockd78,47,228766,11396
14,1222090035470274600,dsk923,46,216138,10802
15,418030006565077018,benoeh,45,213030,10659
16,862599700862730250,johncena9423,45,206361,10295
17,705387714228387881,eshuu_rules,45,204241,10203
18,623172442612957205,chupapii_.,45,203338,10143
19,1211395484015534222,benxdrylangyl,44,200754,10009
20,1058932081629069363,_vasumitra,44,195230,9769
21,208188247291985920,.halalchad.,44,190205,9564
22,702284046893580328,s_kush,43,188648,9426
23,524989156338696217,kakarot_61,43,182167,9104
24,762238670656634921,toblobs,43,177437,8893
25,908765764964737076,ibbs07,41,165748,8307
26,506883533713965086,shareq01.9633,40,154380,7732
27,706387998442258474,hibiki0912,40,154059,7743
28,707133252623794179,martin_2020,40,152262,7621
29,821324620946341919,vergil_._sparda,40,148167,7407
30,1085795584897732608,am_xtraordinary,40,147049,7335
31,636484001867104256,ylk_07,39,142978,7144
32,744521610773397604,itcoin,39,142634,7124
33,522293365333557248,scams.,39,142335,7131
34,1233128775248646245,powerpixel_2708,39,141853,7087
35,851092788246347776,taha_3107,39,141265,7064
36,1375526152638304369,rayasparkles,39,138024,6898
37,503876266844356628,vistarel,39,137731,6900
38,1092817860985888949,niceabcd,38,131336,6555
39,1262459575781687396,sigmaboiarmand,38,131243,6566
40,895989780159004712,susshaba,38,129188,6442
41,1125775330628599869,sheralkhan,38,128783,6452
42,1000281270691053628,sadness7311,37,126554,6342
43,1343230317917376593,hikaru.s1,37,124740,6211
44,797197142036185119,grandadventurer,37,123906,6193
45,1404820655433580649,drateretard,37,122885,6150
46,1092480374375972934,syphen123,37,122338,6111
47,1154505358983835729,2727deleteduser____,37,121662,6078
48,874535649724743701,fishy0303,36,115586,5794
49,1368997466699075676,divjot923,36,115565,5769
50,466282676375257089,_awabi_,36,114821,5732
51,1183052091405639710,ud9536,36,114689,5725
52,1139584088936820746,curzed101,36,113599,5688
53,757320887593599006,zainab_2812,35,108704,5435
54,1258018456670834771,ham_is_cooked_,35,107694,5359
55,1109911374366257223,_myz_,35,106639,5334
56,1355745101023805602,bombaclatthuzz,35,106323,5324
57,1389055503321272380,dreamdeprivedsleeper,35,105299,5268
58,441886752521846814,halwa,35,104143,5207
59,762284885305065513,literally._1984,35,103527,5155
60,1217904128185991360,catsnshimmer,35,102578,5124
61,694794392556404786,maisvx11,35,102545,5130
62,427750186132176896,deathfuryx,34,97265,4859
63,1441910396901658807,thuraiya_333,34,97112,4844
64,1187115716349018153,riax.a,33,89752,4492
65,1235787903565566043,luciusmalfoy13,33,87919,4386
66,610499423339806721,dokjaenthusiast,33,87076,4358
67,907349771872792596,friedpringle,32,86162,4299
68,623248132620156956,ce04,32,86124,4315
69,861811421502111744,vxrs,32,84449,4227
70,953012061338755163,awertha,32,83920,4190
71,1359838837345488937,lukewarmtapwater_,32,82669,4154
72,1348273771588358184,theshoeguy007,32,82660,4144
73,769818734655045642,htra5,32,82571,4135
74,1186723201154293862,omarrr._33,32,81811,4092
75,1239678561523077131,adeptalloy,32,81340,4074
76,927413023709216779,roninkenshi23,32,80911,4064
77,572066888440348702,plasma8cell,32,80706,4032
78,1188619194938441792,lonefiles,32,80649,4040
79,594883597115064362,mmmppphhhggg,31,79934,3992
80,1104150584958918690,hikaritheunhinged,31,79493,3977
81,509177732249288719,chemeddy,31,78165,3903
82,574526495826116629,fawningforu,31,77583,3894
83,709212891152384070,syx0311,31,77360,3884
84,1332240790201565195,pieceofmeat11,31,75777,3793
85,710559915340726324,bloodreaper1368,31,75671,3788
86,770507105978941441,max_urmom.,31,75448,3787
87,976873468446515280,nightskorpion,31,74803,3750
88,782952248597544990,jaehyunminded,31,73810,3696
89,737277551227043850,zoeyisoffline,30,72209,3602
90,1122779032975589437,nusaiba.x.,30,71731,3582
91,1055016524076818542,rt.bt.cc1921,30,71638,3582
92,1389276534405206197,limopaani,30,71547,3586
93,1229529725588869152,mango_o26,30,71496,3571
94,710416348299264030,rizzaallll,30,70358,3528
95,1273293712117731451,xankron,30,68888,3455
96,1244096869114843267,._h3llok1tty_.,30,68873,3448
97,743219419463024771,ashirue,30,68836,3452
98,604604154702331904,meowbkhsh,30,68573,3426
99,532913361260642315,nani5786,30,67965,3394
100,1273927611961053290,jaydentwinkluvr_420,30,67885,3388
101,1007476110398865418,futuremechatron_20028,30,67740,3378
102,1370435360253018313,girls.arescary,29,67164,3362
103,648815018577756160,lockedingeto,29,66872,3343
104,712270327203233794,blazer2212,29,66629,3334
105,612641385526591500,zizo4343gh,29,66610,3339
106,1336710233224908970,goowd,29,65144,3259
107,1362271383442424011,littlemunchkinman.,29,64383,3218
108,1233901334147629197,exotic_001,29,64330,3212
109,1092769399225720834,lordcult_4,29,63979,3197
110,1214638397583532062,nocturnal_numa._._69888,29,63953,3200
